case,total_cost,investment,new_ocgt,new_onwind,new_solar,new_batt_mw,emissions_t,curtail,ai_mwh,import_mwh,export_mwh
NOAI,147465186.94004402,19405302.610052522,0.0,0.0,26454.809147968932,0.0,4544810.450177186,5.0063140781774264e-05,0.0,0.0,1833163.0965641525
S0,152558974.89619735,20734457.583981678,0.0,0.0,28266.815993208966,-0.0,4670605.284617801,0.00012353919496671292,172281.79529656406,0.0,1715586.3830061166
S0e,151884728.5576617,20199268.443648737,0.0,0.0,27537.204770437354,-0.0,4666797.058670027,5.0895961176752576e-05,149470.25545789144,0.0,1728299.0192875583
S1,151904886.7181828,20368563.492616493,0.0,0.0,27768.000872932455,-0.0,4661675.095719877,8.16852516652581e-05,150317.28817594255,0.0,1731578.1306966085
S2,151881355.03607374,20368563.492616493,0.0,0.0,27768.000872932455,-0.0,4660788.329596394,1.751180402832954e-18,149563.95278209535,0.0,1731358.3951534866
S1rt,151881440.39993602,20344046.551043864,0.0,0.0,27734.577482262946,-0.0,4661660.993160859,9.705080533329413e-06,149544.76053269312,0.0,1731086.2546129953
S3,151904886.7181828,20368563.492616493,0.0,0.0,27768.000872932455,-0.0,4661675.095719877,8.16852516652581e-05,150317.28817594255,0.0,1731578.1306966085
